  pid   typ      v1      v2       Δ
 t131    k2    0.65    0.63   -0.02
 t131    k3    0.44   -3.66   -4.10
 t132    k1    0.39   -0.34   -0.73
 t132    k2    0.34   -0.41   -0.76
 t132    k3    0.63   -3.56   -4.19
 t133    k1   -0.01   -0.23   -0.22
 t133    k2    0.31    0.17   -0.14
 t133    k3    0.67    0.34   -0.33
 t134    k1   -1.10   -1.55   -0.45
 t135    k1   -0.67    7.36    8.03
 t136    k1   -0.47    0.87    1.33
 t137    k1    4.61   -6.15  -10.76
 t138    k1   -0.40   -0.05    0.35
 t138    k2    2.07    1.05   -1.02
t138a    k1   -0.10   -0.10    0.00
t138a    k2    1.55    1.55    0.00
 t139    k1    4.29   -0.71   -5.00
 t140    k1   15.79    9.71   -6.08
 t141    k1   10.58    3.27   -7.31
t141a    k1   -3.91    3.81    7.72
t141b    k1    1.11   -0.06   -1.17
t141b    k2    0.50    0.14   -0.36
t141c    k1   -3.53   -0.68    2.85
 t142    k1   -0.77    0.41    1.18
 t143    k1   -1.69   -1.60    0.09
 t143    k2    0.32   -0.06   -0.38
 t143    k3    0.22   -0.23   -0.45
 t144    k1   -0.43   -2.78   -2.35
 t145    k1    0.20   -0.02   -0.22
 t146    k1    0.69    6.55    5.86
 t146    k2    0.37    1.68    1.31
 t147    k1    0.90   -0.49   -1.39
 t147    k2    0.50   -2.42   -2.92
 t147    k3    1.22    0.82   -0.40
 t148    k1   -0.69    1.14    1.83
 t148    k2    0.26    0.38    0.11
 t149    k1    0.01    0.33    0.32
 t149    k2    0.60   -0.90   -1.50
 t149    k3    1.53    2.20    0.67
 t150    k1    0.46    0.05   -0.41
 t150    k2    0.59   -0.35   -0.94
 t150    k3   -0.50   -2.65   -2.15
 t151    k1   -0.52    0.24    0.76
 t151    k2    1.28   -2.40   -3.67
 t152    k1   -0.07   -1.70   -1.64
 t153    k1    2.92    5.08    2.16
 t154    k1    3.27    3.21   -0.06
 t155    k1   -0.27   -0.91   -0.64
 t155    k2    0.03    1.73    1.70
 t155    k3    0.16    1.41    1.25
 t155    k4    0.35    1.70    1.35
 t155    k5   -0.37    1.65    2.01
 t155    k6    2.15    0.41   -1.74
 t156    k1    0.14    0.22    0.08
 t156    k2   -0.32    0.59    0.92
 t156    k3    0.25   -0.16   -0.41
 t156    k4    0.65    2.11    1.46
 t156    k5    1.20    0.17   -1.02
 t156    k6    1.17   -1.71   -2.88
 t157    k1    3.04   -0.38   -3.42
 t157    k2   -0.36    0.19    0.55
 t158    k1    3.63    0.77   -2.86
 t158    k2    0.37    0.04   -0.34
 t159    k1    0.43    0.22   -0.21
 t159    k2    9.38    4.67   -4.72
 t159    k3   -1.90   -2.72   -0.82
 t160    k1   -0.76    0.49    1.25
 t160    k2   -1.57   -3.11   -1.54
 t160    k3    8.20    5.26   -2.95
 t161    k1    1.27    2.50    1.23
 t162    k1    2.01    1.23   -0.78
 t162    k2    0.41    0.34   -0.07
 t163    k1   -1.94   -4.58   -2.64
 t164    k1   -0.97    0.16    1.12
 t165    k1    0.00   -0.00   -0.00
 t166    k1    0.00   -0.00   -0.00
 t167    k1    0.00    0.04    0.04
